"stem.age","genus"
0.05268,"Oenothera"
23.720523,"Stachyurus"
3.683292,"Staphylea"
3.148801,"Turpinia"
3.148801,"Euscaphis"
25.581122,"Nitraria"
25.581122,"Peganum"
71.275786,"Biebersteinia"
67.528384,"Kirkia"
17.544378,"Bursera"
11.71952,"Boswellia"
0.131546,"Canarium"
0.131546,"Garuga"
7.790156,"Lannea"
7.790156,"Choerospondias"
20.49114,"Toxicodendron"
20.49114,"Rhus"
47.8,"Anacardium"
56.288396,"Pegia"
56,"Xanthoceras"
37.582712,"Delavaya"
12.359904,"Sapindus"
8.548504,"Allophylus"
8.548504,"Litchi"
36.58209,"Aesculus"
11.546684,"Dipteronia"
11.546684,"Acer"
34.579352,"Ailanthus"
30.97171,"Quassia"
30.97171,"Brucea"
16.090276,"Tetradium"
6.453819,"Zanthoxylum"
6.453819,"Toddalia"
7.569714,"Paramignya"
7.569714,"Citrus"
66,"Harrisonia"
20.005137,"Chukrasia"
10.337168,"Swietenia"
10.337168,"Toona"
41.494324,"Azadirachta"
41.494324,"Heynea"
54.838862,"Tapiscia"
38.708624,"Dipentodon"
38.708624,"Perrottetia"
64.838795,"Gerrardina"
34.572819,"Aquilaria"
15.661683,"Rhamnoneuron"
15.661683,"Edgeworthia"
11.870244,"Daphne"
6.880048,"Stellera"
6.880048,"Wikstroemia"
50.536148,"Cistus"
39.083029,"Schizolaena"
21.017028,"Vatica"
18.671125,"Dipterocarpus"
7.945219,"Shorea"
7.945219,"Hopea"
73.142436,"Bixa"
75.449057,"Muntingia"
13.983672,"Burretiodendron"
10.473488,"Paradombeya"
1.704481,"Dombeya"
1.704481,"Eriolaena"
10.831981,"Mortoniodendron"
6.074612,"Craigia"
6.074612,"Tilia"
19.536365,"Sterculia"
7.375568,"Pachira"
7.375568,"Bombax"
10.501594,"Hoheria"
10.501594,"Abutilon"
4.810162,"Hibiscus"
4.810162,"Kydia"
4.320019,"Gossypium"
4.320019,"Thespesia"
24.352411,"Theobroma"
13.637659,"Grewia"
13.637659,"Microcos"
17.214034,"Apeiba"
48.795383,"Carica"
48.795383,"Moringa"
6.804094,"Bretschneidera"
6.804094,"Akania"
33.396011,"Tropaeolum"
71.047282,"Limnanthes"
26.967945,"Azima"
26.967945,"Batis"
64.210361,"Koeberlinia"
8.64908,"Gyrostemon"
8.64908,"Codonocarpus"
42.791211,"Borthwickia"
10.229788,"Oligomeris"
10.229788,"Reseda"
33.103556,"Capparis"
33.103556,"Crateva"
24.870182,"Cleome"
24.870182,"Polanisia"
24.806089,"Aethionema"
15.639621,"Lepidium"
7.248375,"Barbarea"
7.248375,"Rorippa"
8.047496,"Nasturtium"
8.047496,"Cardamine"
10.825,"Pachycladon"
10.825,"Crucihimalaya"
10.249254,"Olimarabidopsis"
8.255385,"Capsella"
8.255385,"Camelina"
8.896798,"Arabidopsis"
13.709748,"Arabis"
13.709748,"Draba"
17.062829,"Eutrema"
12.295176,"Isatis"
4.536239,"Raphanus"
4.536239,"Brassica"
8.596548,"Sinapis"
17.569297,"Lobularia"
10.322898,"Ionopsidium"
10.322898,"Cochlearia"
102.820493,"Picramnia"
92.045412,"Krameria"
83.765114,"Tribulus"
24.418118,"Zygophyllum"
24.418118,"Tetraena"
24.453444,"Larrea"
24.453444,"Bulnesia"
17.690465,"Rourea"
5.950991,"Connarus"
5.950991,"Ellipanthus"
44.024143,"Averrhoa"
44.024143,"Oxalis"
79.321801,"Cephalotus"
16.783694,"Pullea"
16.783694,"Cunonia"
22.075408,"Davidsonia"
61.6,"Sloanea"
61.6,"Elaeocarpus"
11.667041,"Humiria"
11.667041,"Sacoglottis"
67.877403,"Goupia"
43.115074,"Viola"
43.115074,"Rinorea"
58.026835,"Lacistema"
20.171168,"Scolopia"
5.671486,"Carrierea"
5.671486,"Itoa"
14.762842,"Idesia"
11.334127,"Populus"
11.334127,"Salix"
43.221816,"Erblichia"
43.221816,"Passiflora"
49.941525,"Malesherbia"
40.03901,"Hydnocarpus"
40.03901,"Gynocardia"
40.338462,"Antidesma"
4.550452,"Baccaurea"
4.550452,"Aporosa"
43.494476,"Bischofia"
58.169092,"Leptopus"
18.48951,"Phyllanthus"
7.410786,"Sauropus"
7.410786,"Glochidion"
81.56873,"Piranhea"
28.848722,"Reinwardtia"
28.848722,"Tirpitzia"
37.334977,"Linum"
86.922032,"Ixonanthes"
60.232314,"Clutia"
15.926135,"Hevea"
15.926135,"Manihot"
35.544043,"Jatropha"
16.045395,"Ostodes"
16.045395,"Croton"
16.599961,"Codiaeum"
22.713051,"Euphorbia"
22.713051,"Chamaesyce"
29.135369,"Ricinus"
28.539374,"Plukenetia"
28.539374,"Acalypha"
31.886578,"Mallotus"
54.349411,"Trigonia"
54.349411,"Dichapetalum"
7.012339,"Parinari"
6.573136,"Chrysobalanus"
5.673872,"Licania"
4.945773,"Couepia"
4.945773,"Hirtella"
88.041547,"Caryocar"
63.736411,"Bergia"
30.289382,"Galphimia"
12.39849,"Bunchosia"
8.485274,"Hiptage"
8.485274,"Aspidopterys"
87.49037,"Bhesa"
94.341206,"Drypetes"
95.588192,"Microdesmis"
8.318297,"Gomphia"
8.318297,"Ochna"
65.776393,"Erythroxylum"
22.890715,"Carallia"
17.730942,"Bruguiera"
17.730942,"Rhizophora"
37.177042,"Clusia"
16.900935,"Pentadesma"
16.900935,"Garcinia"
6.610627,"Mesua"
6.610627,"Calophyllum"
16.88156,"Mammea"
50.344258,"Hypericum"
50.344258,"Cratoxylum"
68.806624,"Parnassia"
63.585495,"Microtropis"
18.42606,"Maytenus"
18.151374,"Cassine"
15.867569,"Salacia"
9.533038,"Plagiopteron"
9.533038,"Loeseneriella"
18.555919,"Euonymus"
18.555919,"Tripterygium"
39.912436,"Stackhousia"
39.912436,"Crossopetalum"
83.622608,"Quillaja"
83.622608,"Polygala"
31.337996,"Acrocarpus"
13.377114,"Gymnocladus"
13.377114,"Gleditsia"
24.316125,"Caesalpinia"
9.489658,"Desmanthus"
9.489658,"Leucaena"
9.5811,"Inga"
9.5811,"Acacia"
23.554952,"Senna"
54.296391,"Xanthocercis"
53.588795,"Cladrastis"
49.699444,"Dalbergia"
49.699444,"Lupinus"
48.940782,"Gompholobium"
39.441274,"Pongamia"
28.572979,"Apios"
23.927208,"Codariocalyx"
23.927208,"Craspedolobium"
10.71684,"Phaseolus"
10.71684,"Vigna"
15.589051,"Bituminaria"
15.589051,"Glycine"
44.478841,"Lotus"
31.771415,"Glycyrrhiza"
31.771415,"Wisteria"
27.278952,"Cicer"
