"stem.age","genus"
71.481958,"Euphronia"
26.287882,"Dichapetalum"
26.287882,"Tapura"
35.992345,"Trigonia"
35.992345,"Trigoniastrum"
85.970405,"Brunellia"
70.625421,"Elaeocarpus"
70.625421,"Sloanea"
86.904769,"Cephalotus"
73.846241,"Eucryphia"
73.846241,"Spiraeanthemum"
27.252267,"Connarus"
27.252267,"Rourea"
33.289538,"Averrhoa"
33.289538,"Oxalis"
124.356722,"Afrostyrax"
47.542694,"Anisophyllea"
47.542694,"Combretocarpus"
50.377054,"Apodanthes"
50.377054,"Pilostyles"
30.22477,"Begonia"
30.22477,"Hillebrandia"
24.386824,"Octomeles"
24.386824,"Tetrameles"
75.891741,"Datisca"
34.793175,"Bolbostemma"
34.793175,"Xerosicyos"
42.495674,"Fevillea"
47.994083,"Gynostemma"
62.741903,"Coriaria"
62.741903,"Corynocarpus"
86.512314,"Alnus"
86.512314,"Ticodendron"
28.21255,"Casuarina"
28.21255,"Gymnostoma"
70.508297,"Juglans"
70.508297,"Rhoiptelea"
47.47863,"Canacomyrica"
47.47863,"Morella"
71.751686,"Fagus"
71.751686,"Quercus"
116.579388,"Nothofagus"
88.412021,"Barbeya"
63.93315,"Ceanothus"
63.93315,"Rhamnus"
83.027696,"Dirachma"
33.471598,"Elaeagnus"
33.471598,"Hippophae"
73.857414,"Aphananthe"
73.857414,"Humulus"
55.943795,"Ficus"
55.943795,"Morus"
23.387479,"Boehmeria"
23.387479,"Parietatia"
30.774262,"Cecropia"
30.774262,"Leucosyke"
33.003941,"Pellionia"
33.003941,"Pilea"
43.548933,"Poikilospermum"
60.681993,"Ampelocera"
60.681993,"Zelkova"
16.923087,"Cercocarpus"
16.923087,"Dryas"
48.794074,"Lyonothamnus"
48.794074,"Prunus"
46.720405,"Filipendula"
46.720405,"Potentilla"
33.196315,"Adenanthera"
33.196315,"Albizia"
60.298184,"Ceratonia"
61.769977,"Medicago"
61.769977,"Xanthocercis"
40.841195,"Dialium"
40.841195,"Poeppigia"
91.660413,"Duparquetia"
47.652092,"Bauhinia"
47.652092,"Cercis"
43.292951,"Schotia"
43.292951,"Tamarindus"
66.041385,"Recchia"
66.041385,"Stylobasium"
70.387549,"Polygala"
70.387549,"Xanthophyllum"
116.196987,"Quillaja"
99.030093,"Krameria"
74.178564,"Larrea"
74.178564,"Tribulus"
86.526266,"Leea"
86.526266,"Vitis"
14.761171,"Altingia"
14.761171,"Liquidambar"
85.179222,"Cercidiphyllum"
85.179222,"Daphniphyllum"
92.912637,"Hamamelis"
92.912637,"Rhodoleia"
84.546941,"Aphanopetalum"
31.807815,"Haloragodendron"
31.807815,"Myriophyllum"
76.00035,"Penthorum"
91.841144,"Tetracarpaea"
58.278492,"Crassula"
30.373556,"Kalanchoe"
30.373556,"Sedum"
106.226497,"Cynomorium"
80.425215,"Ribes"
80.425215,"Heuchera"
66.916171,"Choristylis"
66.916171,"Pterostemon"
121.092922,"Paeonia"
55.794827,"Medusandra"
55.794827,"Peridiscus"
33.456752,"Davilla"
33.456752,"Tetracera"
65.815521,"Hibbertia"
104.466507,"Gunnera"
104.466507,"Myrothamnus"
24.441636,"Tetracentron"
24.441636,"Trochodendron"
103.057424,"Buxus"
103.057424,"Didymeles"
150.381081,"Meliosma"
136.121688,"Nelumbo"
117.792218,"Platanus"
61.870516,"Bellendena"
61.870516,"Persoonia"
49.957582,"Petrophile"
49.957582,"Roupala"
72.706845,"Symphionema"
48.928335,"Caulophyllum"
48.928335,"Podophyllum"
66.702939,"Mahonia"
21.367022,"Aquilegia"
21.367022,"Thalictrum"
28.616572,"Ficaria"
28.616572,"Ranunculus"
24.078227,"Coptis"
24.078227,"Xanthorhiza"
78.678913,"Hydrastis"
87.19436,"Glaucidium"
66.326858,"Cissampelos"
66.326858,"Cocculus"
84.046654,"Menispermum"
50.06624,"Circaeaster"
50.06624,"Kingdonia"
62.732454,"Akebia"
62.732454,"Sargentodoxa"
135.106902,"Euptelea"
78.304786,"Dicentra"
78.304786,"Eschscholzia"
153.915619,"Ceratophyllum"
137.911196,"Austrobaileya"
120.896275,"Illicium"
120.896275,"Trimenia"
113.49072,"Brasenia"
113.49072,"Nuphar"
121.885049,"Barclaya"
145.632324,"Trithuria"
195.768445,"Amborella"
173.71429,"Cycas"
127.358626,"Ginkgo"
79.231093,"Metasequoia"
79.231093,"Pinus"
157.818086,"Gnetum"
157.818086,"Welwitschia"
